lead_id,source,clicks,time_spent,email_opened,converted
0,LinkedIn,10,4,0,0
1,Google,19,6,0,0
2,LinkedIn,1,2,1,0
3,LinkedIn,5,5,0,0
4,Google,13,1,0,0
5,Google,4,6,1,0
6,LinkedIn,16,6,0,0
7,Facebook,16,4,1,0
8,LinkedIn,2,8,1,0
9,LinkedIn,17,4,1,0
10,LinkedIn,12,8,1,1
11,LinkedIn,18,8,0,0
12,Google,3,5,1,0
13,LinkedIn,1,4,0,0
14,Facebook,1,2,0,0
15,Google,19,3,0,0
16,Facebook,11,3,0,0
17,Facebook,5,4,0,0
18,Facebook,12,4,0,0
19,Facebook,3,5,0,0
20,Google,1,4,0,0
21,Google,1,8,0,0
22,Facebook,8,6,0,0
23,Facebook,10,6,1,0
24,Google,11,8,1,1
25,Google,12,7,1,1
26,Google,13,8,0,0
27,LinkedIn,12,2,1,0
28,LinkedIn,14,9,1,1
29,LinkedIn,2,1,1,0
30,Facebook,19,8,0,0
31,LinkedIn,18,4,0,0
32,Facebook,3,4,0,0
33,Facebook,17,5,0,0
34,LinkedIn,8,8,1,0
35,Facebook,10,5,1,0
36,LinkedIn,2,8,1,0
37,LinkedIn,19,1,1,0
38,Google,9,9,0,0
39,LinkedIn,7,6,0,0
40,Google,4,3,0,0
41,LinkedIn,18,8,1,1
42,LinkedIn,13,9,0,0
43,Google,11,6,0,0
44,Google,4,7,1,0
45,LinkedIn,4,1,1,0
46,Facebook,10,5,0,0
47,Google,5,5,0,0
48,Facebook,9,4,0,0
49,Facebook,3,6,0,0
50,Facebook,17,7,0,0
51,Google,3,9,0,0
52,Facebook,16,1,1,0
53,Google,4,6,1,0
54,Facebook,18,7,1,1
55,LinkedIn,17,3,0,0
56,LinkedIn,7,8,1,0
57,Google,5,5,0,0
58,LinkedIn,12,9,0,0
59,LinkedIn,17,5,1,0
60,Facebook,13,9,0,0
61,Google,3,4,0,0
62,Facebook,9,9,1,0
63,Facebook,17,5,1,0
64,Facebook,17,9,1,1
65,Facebook,16,3,0,0
66,Facebook,13,4,1,0
67,Facebook,19,9,1,1
68,Facebook,17,6,0,0
69,Google,4,2,1,0
70,LinkedIn,12,7,1,1
71,Facebook,9,2,1,0
72,Facebook,19,2,0,0
73,Facebook,12,1,0,0
74,Facebook,9,3,0,0
75,Facebook,7,6,0,0
76,Facebook,14,8,1,1
77,LinkedIn,19,9,0,0
78,LinkedIn,15,7,0,0
79,Facebook,16,4,1,0
80,LinkedIn,5,6,1,0
81,Google,3,5,1,0
82,Facebook,12,8,0,0
83,Google,4,1,0,0
84,Google,16,1,0,0
85,Facebook,7,6,1,0
86,LinkedIn,13,2,1,0
87,Google,10,5,0,0
88,Facebook,7,1,1,0
89,Google,14,7,1,1
90,Google,5,1,1,0
91,Google,3,4,0,0
92,Google,11,9,1,1
93,LinkedIn,11,1,1,0
94,Google,18,4,0,0
95,Google,15,6,0,0
96,Google,12,6,1,1
97,LinkedIn,9,8,1,0
98,Google,10,1,0,0
99,Google,12,7,0,0
100,LinkedIn,17,1,1,0
101,LinkedIn,6,7,1,0
102,LinkedIn,7,3,1,0
103,Google,14,8,1,1
104,LinkedIn,13,3,0,0
105,LinkedIn,8,1,1,0
106,Google,10,8,1,0
107,LinkedIn,9,3,0,0
108,Google,18,2,1,0
109,Facebook,2,1,0,0
110,LinkedIn,5,3,1,0
111,Facebook,5,2,1,0
112,Google,6,2,0,0
113,LinkedIn,19,6,0,0
114,Google,8,1,1,0
115,Facebook,16,2,1,0
116,Google,13,6,1,1
117,LinkedIn,1,3,0,0
118,LinkedIn,17,4,1,0
119,Facebook,7,1,0,0
120,Google,13,8,0,0
121,LinkedIn,4,7,1,0
122,Facebook,4,7,0,0
123,LinkedIn,6,3,1,0
124,LinkedIn,19,3,1,0
125,Google,12,2,1,0
126,LinkedIn,7,1,1,0
127,Google,10,7,1,0
128,LinkedIn,19,7,0,0
129,Facebook,7,2,0,0
